Baetisca,Caenis,Tricorythodes,Cap/Leuc,Parachironomus,Diamesa,Potthastia,Nanocladius,Orthocladius,Thienemanniella,Tvetenia,Thienemannimyia group,Hemerodromia,Protoplasa,Gammarus,Orconectes,Hydracarina,Nematoda,Nemertea
0,0,9,0,0,0,0,0,10,0,24,0,1,1,0,0,0,0,3
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
0,0,20,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,0,0,0,0,20,0,0,0,2,0,1,0,0
0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0
0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,2,1,0
0,0,1,0,0,0,0,0,17,0,9,0,3,0,0,0,3,0,0
0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,1,0,0
0,0,2,0,0,0,0,0,32,0,32,0,3,0,0,0,12,8,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,20,7,4,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,26,0,12,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,47,0,32,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
0,0,5,0,0,0,0,0,28,0,57,0,0,0,0,0,6,1,0
0,0,2,0,0,0,0,0,85,0,42,0,0,0,0,0,6,2,0
0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0
0,0,2,0,0,0,0,0,69,0,69,0,0,0,0,0,4,1,0
1,0,1,2,0,0,0,0,17,0,51,0,4,0,0,0,10,3,1
0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0
0,1,2,0,0,0,0,15,15,0,47,0,1,0,0,0,5,5,0
0,0,2,0,0,0,0,0,18,0,6,0,4,0,0,0,8,5,0
0,0,7,0,0,0,0,0,0,0,9,0,1,0,0,0,10,1,1
0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,4,0
0,1,10,0,0,0,0,0,159,0,23,0,0,0,0,0,10,2,0
0,0,0,0,0,0,0,13,13,0,30,0,1,0,0,0,2,0,0
0,0,2,0,0,0,0,12,165,0,53,0,2,0,0,0,12,4,0
0,0,6,0,0,0,0,0,89,0,10,3,0,0,0,0,5,4,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,1,0
0,1,11,0,0,0,0,0,282,0,0,22,6,0,0,0,9,2,1
0,1,8,0,0,0,0,0,108,8,0,0,17,0,0,0,7,0,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0
0,0,3,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0
0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
0,0,9,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,8,0,1,0,0,1,2,0,1,0,0,0,0,0,1,2,0
0,0,8,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0
0,0,49,0,0,0,12,0,7,0,0,0,4,0,0,0,4,0,0
0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0
0,0,15,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1
0,0,20,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0
0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
0,0,14,0,0,0,0,0,6,0,2,0,0,0,1,0,1,0,0
0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,44,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0
0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
